09:17:00 Ошибка чтения в строке 170, )
09:17:00 Ошибка чтения в строке 171, )
09:17:00 Ошибка чтения в строке 172, )
09:17:00 Ошибка чтения в строке 173, )
09:47:32 РУП "Белоруснефть-Брестоблнефтепродукт": 1014 rows prepare to writing
09:48:05 РУП "Белоруснефть-Витебскоблнефтепродукт": 635 rows prepare to writing
09:48:29 РУП "Белоруснефть-Гомельоблнефтепродукт": 1446 rows prepare to writing
09:49:18 РУП "Белоруснефть-Гроднооблнефтепродукт": 864 rows prepare to writing
09:49:47 ОАО "Лиданефтепродукт": 110 rows prepare to writing
09:49:51 РУП "Белоруснефть-Минскоблнефтепродукт": 1565 rows prepare to writing
09:50:43 РУП "Белоруснефть-Минскавтозаправка": 4232 rows prepare to writing
09:53:03 ОАО "Пуховичинефтепродукт": 118 rows prepare to writing
09:53:07 РУП "Белоруснефть-Могилевоблнефтепродукт": 656 rows prepare to writing
